,prev_chapter,prev_section,prev_cg,next_chapter,next_section,next_cg,junyi_code,level,learning_content,pre_code,para_code,theme,topic
249,七年級,能理解等量公理,A-7-3,,,,jac-7-03-1-1,分隔線,,,,,
250,七年級,以等量公理解簡易一元一次方程式,A-7-3,,,,jac-7-03-1-2,分隔線,,,,,
251,七年級,能理解移項法則，並運用於解一元一次方程式,A-7-3,,,,jac-7-03-1-3,分隔線,,,,,
252,七年級,利用一元一次方程式解應用問題,A-7-3,,,,jac-7-03-1-4,分隔線,,,,,
253,七年級,檢驗解的合理性,A-7-3,,,,jac-7-03-1-5,分隔線,,,,,
254,七年級,二元一次聯立方程式的意義,A-7-4,十一年級,三元一次聯立方程式,A-11A-2,ja-7-04,主題,二元一次聯立方程式的意義,"N-6-9,R-6-2,R-6-3","A-7-2,A-7-5,A-7-6",A,
255,七年級,列二元一次方程式,A-7-4,,,,jac-7-04-1,次主題,,,,,
256,七年級,能依據生活情境，列出二元一次方程式。,A-7-4,,,,jac-7-04-1-1,分隔線,,,,,
257,七年級,能依據生活情境，列出二元一次聯立方程式,A-7-4,,,,jac-7-04-1-2,分隔線,,,,,
258,七年級,二元一次方程式及其解的意義,A-7-4,,,,jac-7-04-2,次主題,,,,,
259,七年級,解的判別及找出二元一次方程式的解,A-7-4,,,,jac-7-04-2-1,分隔線,,,,,
260,七年級,二元一次聯立方程式及其解的意義,A-7-4,,,,jac-7-04-2-2,分隔線,,,,,
261,七年級,二元一次聯立方程式的解法與應用,A-7-5,十一年級,二元一次方程組的矩陣表達,A-11A-1,ja-7-05,主題,二元一次聯立方程式的解法與應用,,"A-7-3,A-7-4,A-7-2",A,
261,七年級,二元一次聯立方程式的解法與應用,A-7-5,十一年級,三元一次聯立方程式,A-11A-2,ja-7-05,主題,二元一次聯立方程式的解法與應用,,"A-7-3,A-7-4,A-7-2",A,
261,七年級,二元一次聯立方程式的解法與應用,A-7-5,十一年級,矩陣與資料表格,A-11B-1,ja-7-05,主題,二元一次聯立方程式的解法與應用,,"A-7-3,A-7-4,A-7-2",A,
262,七年級,代入消去法、加減消去法,A-7-5,,,,jac-7-05-1,次主題,,,,,
263,七年級,代入消去法,A-7-5,,,,jac-7-05-1-1,分隔線,,,,,
264,七年級,加減消去法,A-7-5,,,,jac-7-05-1-2,分隔線,,,,,
265,七年級,解決生活情境中列出的二元一次聯立方程式,A-7-5,,,,jac-7-05-1-3,分隔線,,,,,
266,七年級,二元一次聯立方程式的幾何意義,A-7-6,八年級,一次函數的圖形,F-8-2,ja-7-06,主題,二元一次聯立方程式的幾何意義,,"A-7-4,G-7-1,A-7-2",A,
266,七年級,二元一次聯立方程式的幾何意義,A-7-6,八年級,一次函數,F-8-1,ja-7-06,主題,二元一次聯立方程式的幾何意義,,"A-7-4,G-7-1,A-7-2",A,
266,七年級,二元一次聯立方程式的幾何意義,A-7-6,十年級,直線方程式,G-10-2,ja-7-06,主題,二元一次聯立方程式的幾何意義,,"A-7-4,G-7-1,A-7-2",A,
266,七年級,二元一次聯立方程式的幾何意義,A-7-6,十一年級,二元一次方程組的矩陣表達,A-11A-1,ja-7-06,主題,二元一次聯立方程式的幾何意義,,"A-7-4,G-7-1,A-7-2",A,
266,七年級,二元一次聯立方程式的幾何意義,A-7-6,十一年級,三元一次聯立方程式,A-11A-2,ja-7-06,主題,二元一次聯立方程式的幾何意義,,"A-7-4,G-7-1,A-7-2",A,
266,七年級,二元一次聯立方程式的幾何意義,A-7-6,十一年級,矩陣與資料表格,A-11B-1,ja-7-06,主題,二元一次聯立方程式的幾何意義,,"A-7-4,G-7-1,A-7-2",A,
267,七年級,二元一次方程式的圖形,A-7-6,,,,jac-7-06-1,次主題,,,,,
268,七年級,二元一次方程式解的圖形,A-7-6,,,,jac-7-06-1-1,分隔線,,,,,
269,七年級,二元一次方程式圖形的應用,A-7-6,,,,jac-7-06-1-2,分隔線,,,,,
270,七年級,二元一次聯立方程式的圖形,A-7-6,,,,jac-7-06-2,次主題,,,,,
271,七年級,二元一次聯立方程式的圖形，並認識解的幾何意義。,A-7-6,,,,jac-7-06-2-1,分隔線,,,,,
272,七年級,一元一次不等式的意義,A-7-7,十年級,絕對值,N-10-2,ja-7-07,主題,一元一次不等式的意義,,"A-7-2,A-7-8",A,
272,七年級,一元一次不等式的意義,A-7-7,十年級,多項式不等式,F-10-3,ja-7-07,主題,一元一次不等式的意義,,"A-7-2,A-7-8",A,
273,七年級,一元一次不等式的意義,A-7-7,,,,jac-7-07-1,次主題,,,,,
274,七年級,能理解生活中非相等關係的用語，如：以上、以下、超過、未滿等，並以不等號，如：≥、≤、> 或< 等符號來表示。,A-7-7,,,,jac-7-07-1-1,分隔線,,,,,
275,七年級,能利用不等號，表示兩個數量的不等關係。,A-7-7,,,,jac-7-07-1-2,分隔線,,,,,
276,七年級,列一元一次不等式,A-7-7,,,,jac-7-07-2,次主題,,,,,
277,七年級,能根據生活情境列出簡易一元一次不等式。,A-7-7,,,,jac-7-07-2-1,分隔線,,,,,
278,七年級,檢驗不等式的解,A-7-7,,,,jac-7-07-2-2,分隔線,,,,,
279,七年級,一元一次不等式的解與應用,A-7-8,十年級,絕對值,N-10-2,ja-7-08,主題,一元一次不等式的解與應用,,"A-7-3,A-7-7",A,
279,七年級,一元一次不等式的解與應用,A-7-8,十年級,多項式不等式,F-10-3,ja-7-08,主題,一元一次不等式的解與應用,,"A-7-3,A-7-7",A,
279,七年級,一元一次不等式的解與應用,A-7-8,十年級,集合,D-10-1,ja-7-08,主題,一元一次不等式的解與應用,,"A-7-3,A-7-7",A,
280,七年級,圖示一元一次不等式的解,A-7-8,,,,jac-7-08-2,次主題,,,,,
281,七年級,將一元一次不等式的解標示在數線上。,A-7-8,,,,jac-7-08-2-1,分隔線,,,,,
282,七年級,一元一次不等式的解,A-7-8,,,,jac-7-08-1,次主題,,,,,
283,七年級,不等式的運算規則。,A-7-8,,,,jac-7-08-1-1,分隔線,,,,,
284,七年級,能求出一元一次不等式的解。,A-7-8,,,,jac-7-08-1-2,分隔線,,,,,
285,七年級,利用一元一次不等式解應用問題。,A-7-8,,,,jac-7-08-1-3,分隔線,,,,,
286,七年級,統計圖表,D-7-1,八年級,統計資料處理,D-8-1,jd-7-01,主題,統計圖表,D-6-1,D-7-2,D,
287,七年級,統計圖表,D-7-1,,,,jdc-7-01-1,次主題,,,,,
288,七年級,生活中的統計圖表：長條圖、圓形圖、折線圖,D-7-1,,,,jdc-7-01-1-1,分隔線,,,,,
289,七年級,列聯表,D-7-1,,,,jdc-7-01-1-2,分隔線,,,,,
290,七年級,分組的次數分配表,D-7-1,,,,jdc-7-01-1-3,分隔線,,,,,
291,七年級,次數分配直方圖,D-7-1,,,,jdc-7-01-1-4,分隔線,,,,,
292,七年級,次數分配折線圖,D-7-1,,,,jdc-7-01-1-5,分隔線,,,,,
293,七年級,統計數據,D-7-2,八年級,統計資料處理,D-8-1,jd-7-02,主題,統計數據,D-6-1,D-7-1,D,
294,七年級,平均數,D-7-2,,,,jdc-7-02-1,次主題,,,,,
295,七年級,平均數,D-7-2,,,,jdc-7-02-1-1,分隔線,,,,,
296,七年級,中位數,D-7-2,,,,jdc-7-02-2,次主題,,,,,
297,七年級,中位數,D-7-2,,,,jdc-7-02-2-1,分隔線,,,,,
298,七年級,眾數,D-7-2,,,,jdc-7-02-3,次主題,,,,,
299,七年級,眾數,D-7-2,,,,jdc-7-02-3-1,分隔線,,,,,
300,七年級,平均數、中位數與眾數的應用,D-7-2,,,,jdc-7-02-4,次主題,,,,,
301,八年級,二次方根,N-8-1,九年級,圓的幾何性質,S-9-6,jn-8-01,主題,二次方根：二次方根的意義；根式的化簡及四則運算。備註：可使用乘法公式來化簡的根式，需乘法公式單元引入後再提及。,"N-7-6,N-7-7,N-7-3,N-7-4","N-8-2,S-8-6,G-8-1",N,
301,八年級,二次方根,N-8-1,十年級,實數,N-10-1,jn-8-01,主題,二次方根：二次方根的意義；根式的化簡及四則運算。備註：可使用乘法公式來化簡的根式，需乘法公式單元引入後再提及。,"N-7-6,N-7-7,N-7-3,N-7-4","N-8-2,S-8-6,G-8-1",N,
301,八年級,二次方根,N-8-1,十年級,指數,N-10-3,jn-8-01,主題,二次方根：二次方根的意義；根式的化簡及四則運算。備註：可使用乘法公式來化簡的根式，需乘法公式單元引入後再提及。,"N-7-6,N-7-7,N-7-3,N-7-4","N-8-2,S-8-6,G-8-1",N,
301,八年級,二次方根,N-8-1,十年級,直線方程式,G-10-2,jn-8-01,主題,二次方根：二次方根的意義；根式的化簡及四則運算。備註：可使用乘法公式來化簡的根式，需乘法公式單元引入後再提及。,"N-7-6,N-7-7,N-7-3,N-7-4","N-8-2,S-8-6,G-8-1",N,
302,八年級,1. 根號的意義,N-8-1,,,,jnc-8-01-1-1,分隔線,,,,,
303,八年級,根號 𝑎² 的值,N-8-1,,,,jnc-8-01-1-2,分隔線,,,,,
304,八年級,二次方根的近似值,N-8-2,十年級,實數,N-10-1,jn-8-02,主題,二次方根的近似值：二次方根的近似值；二次方根的整數部分；十分逼近法。使用計算機√鍵。,"N-7-6,N-7-7","N-8-1,S-8-6,G-8-1",N,
305,八年級,根號 𝑎 的近似值,N-8-2,,,,jnc-8-02-1-1,分隔線,,,,,
306,八年級,平方根的意義,N-8-2,,,,jnc-8-01-1-3,分隔線,,,,,
307,八年級,根式運算的基本性質,N-8-2,,,,jnc-8-01-2-1,分隔線,,,,,
308,八年級,根式的乘法運算,N-8-2,,,,jnc-8-01-2-2,分隔線,,,,,
309,八年級,根式的除法運算,N-8-2,,,,jnc-8-01-2-3,分隔線,,,,,
310,八年級,根式的加減運算,N-8-2,,,,jnc-8-01-2-4,分隔線,,,,,
311,八年級,根式的四則運算,N-8-2,,,,jnc-8-01-2-5,分隔線,,,,,
312,八年級,認識數列,N-8-3,十年級,數列與級數,N-10-6,jn-8-03,主題,認識數列：生活中常見的數列及其規律性（包括圖形的規律性）。,"R-6-2,R-6-3","N-8-4,N-8-6,N-8-5",N,
313,八年級,認識數列,N-8-3,,,,jnc-8-03-1-1,分隔線,,,,,
314,八年級,等差數列,N-8-4,十年級,數列與級數,N-10-6,jn-8-04,主題,等差數列：等差數列；給定首項、公差計算等數列的一般項。,R-6-3,"N-8-3,N-8-5,N-8-6",N,
315,八年級,等差數列,N-8-4,,,,jnc-8-04-1-1,分隔線,,,,,
316,八年級,等差數列的第 n 項,N-8-4,,,,jnc-8-04-2-1,分隔線,,,,,
317,八年級,等差中項,N-8-4,,,,jnc-8-04-2-2,分隔線,,,,,
318,八年級,等差級數求和,N-8-5,十年級,數列與級數,N-10-6,jn-8-05,主題,等差級數求和：等差級數求和公式；生活中相關的問題。,R-6-3,"N-8-3,N-8-4",N,
319,八年級,等差級數的和,N-8-5,,,,jnc-8-05-1-1,分隔線,,,,,
320,八年級,等差級數的應用問題,N-8-5,,,,jnc-8-05-1-2,分隔線,,,,,
321,八年級,等比數列,N-8-6,十年級,數列與級數,N-10-6,jn-8-06,主題,等比數列：等比數列；給定首項、公比計算等比數列的一般項。,"R-6-3,N-7-6,N-7-7","N-8-3,N-8-4",N,
321,八年級,等比數列,N-8-6,十二年級,數列的極限,N-12甲-1,jn-8-06,主題,等比數列：等比數列；給定首項、公比計算等比數列的一般項。,"R-6-3,N-7-6,N-7-7","N-8-3,N-8-4",N,
321,八年級,等比數列,N-8-6,十二年級,無窮等比級數,N-12甲-2,jn-8-06,主題,等比數列：等比數列；給定首項、公比計算等比數列的一般項。,"R-6-3,N-7-6,N-7-7","N-8-3,N-8-4",N,
321,八年級,等比數列,N-8-6,十二年級,無窮等比級數,N-12乙-2,jn-8-06,主題,等比數列：等比數列；給定首項、公比計算等比數列的一般項。,"R-6-3,N-7-6,N-7-7","N-8-3,N-8-4",N,
322,八年級,等比數列,N-8-6,,,,jnc-8-06-1-1,分隔線,,,,,
323,八年級,等比數列的第 n 項,N-8-6,,,,jnc-8-06-2-1,分隔線,,,,,
324,八年級,等比中項,N-8-6,,,,jnc-8-06-2-2,分隔線,,,,,
325,八年級,三角形的基本性質,S-8-1,九年級,圖形縮放與多邊形相似,S-9-1,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
325,八年級,三角形的基本性質,S-8-1,九年級,三角形的相似性質,S-9-2,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
325,八年級,三角形的基本性質,S-8-1,九年級,相似直角三角形邊長比值的不變性,S-9-4,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
325,八年級,三角形的基本性質,S-8-1,九年級,圓弧長與扇形面積,S-9-5,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
325,八年級,三角形的基本性質,S-8-1,九年級,圓的幾何性質,S-9-6,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
325,八年級,三角形的基本性質,S-8-1,九年級,點、直線與圓的關係,S-9-7,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
325,八年級,三角形的基本性質,S-8-1,九年級,三角形的外心,S-9-8,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
325,八年級,三角形的基本性質,S-8-1,九年級,三角形的內心,S-9-9,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
325,八年級,三角形的基本性質,S-8-1,九年級,三角形的重心,S-9-10,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
325,八年級,三角形的基本性質,S-8-1,九年級,證明的意義,S-9-11,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
325,八年級,三角形的基本性質,S-8-1,九年級,空間中的線與平面,S-9-12,js-8-01,主題,角：角的種類；兩個角的關係（互餘、互補、對頂角、同位角、內錯角、同側內角）；角平分線的意義。,"S-7-1,S-7-3,S-7-4","S-8-2,S-8-3,S-8-12",S,
326,八年級,角的種類,S-8-1,,,,jsc-8-01-1-1,分隔線,,,,,
327,八年級,截線與截角,S-8-1,,,,jsc-8-01-2-1,分隔線,,,,,
328,八年級,角平分線性質,S-8-1,,,,jsc-8-01-3-1,分隔線,,,,,
329,八年級,凸多邊形的內角和,S-8-2,九年級,圖形縮放與多邊形相似,S-9-1,js-8-02,主題,凸多邊形的內角和：凸多邊形的意義；內角與外角的意義；凸多邊形的內角和公式；正n邊形的每個內角度數。備註：不處理多邊形外角和公式。,S-7-1,"S-8-1,S-8-8,S-8-3",S,
329,八年級,凸多邊形的內角和,S-8-2,九年級,三角形的相似性質,S-9-2,js-8-02,主題,凸多邊形的內角和：凸多邊形的意義；內角與外角的意義；凸多邊形的內角和公式；正n邊形的每個內角度數。備註：不處理多邊形外角和公式。,S-7-1,"S-8-1,S-8-8,S-8-3",S,
329,八年級,凸多邊形的內角和,S-8-2,九年級,平行線截比例線段,S-9-3,js-8-02,主題,凸多邊形的內角和：凸多邊形的意義；內角與外角的意義；凸多邊形的內角和公式；正n邊形的每個內角度數。備註：不處理多邊形外角和公式。,S-7-1,"S-8-1,S-8-8,S-8-3",S,
329,八年級,凸多邊形的內角和,S-8-2,九年級,空間中的線與平面,S-9-12,js-8-02,主題,凸多邊形的內角和：凸多邊形的意義；內角與外角的意義；凸多邊形的內角和公式；正n邊形的每個內角度數。備註：不處理多邊形外角和公式。,S-7-1,"S-8-1,S-8-8,S-8-3",S,
330,八年級,三角形內角和性質,S-8-2,,,,jsc-8-02-1-1,分隔線,,,,,
331,八年級,三角形外角和性質,S-8-2,,,,jsc-8-02-2-1,分隔線,,,,,
332,八年級,多邊形的內角與外角,S-8-2,,,,jsc-8-02-1-2,分隔線,,,,,
333,八年級,平行,S-8-3,九年級,平行線截比例線段,S-9-3,js-8-03,主題,平行：平行的意義與符號；平行線截角性質；兩平行線間的距離處處相等。,"S-7-1,S-7-3,S-7-4","S-8-1,S-8-2,S-8-8,S-8-9,S-8-10,S-8-11,S-8-12",S,
333,八年級,平行,S-8-3,九年級,空間中的線與平面,S-9-12,js-8-03,主題,平行：平行的意義與符號；平行線截角性質；兩平行線間的距離處處相等。,"S-7-1,S-7-3,S-7-4","S-8-1,S-8-2,S-8-8,S-8-9,S-8-10,S-8-11,S-8-12",S,
333,八年級,平行,S-8-3,十年級,直線方程式,G-10-2,js-8-03,主題,平行：平行的意義與符號；平行線截角性質；兩平行線間的距離處處相等。,"S-7-1,S-7-3,S-7-4","S-8-1,S-8-2,S-8-8,S-8-9,S-8-10,S-8-11,S-8-12",S,
334,八年級,平行線性質,S-8-3,,,,jsc-8-03-1-1,分隔線,,,,,
335,八年級,平行線截角性質,S-8-3,,,,jsc-8-03-1-2,分隔線,,,,,
336,八年級,平行線判別性質,S-8-3,,,,jsc-8-03-2-1,分隔線,,,,,
337,八年級,全等圖形,S-8-4,九年級,圖形縮放與多邊形相似,S-9-1,js-8-04,主題,全等圖形：全等圖形的意義(兩個圖形經過平移、旋轉或翻轉可以完全疊合)；兩個多邊形全等則其對應邊和對應角相等(反之亦然)。,"S-7-1,S-7-4,S-7-3,S-7-5","S-8-5,S-8-6",S,
337,八年級,全等圖形,S-8-4,九年級,三角形的相似性質,S-9-2,js-8-04,主題,全等圖形：全等圖形的意義(兩個圖形經過平移、旋轉或翻轉可以完全疊合)；兩個多邊形全等則其對應邊和對應角相等(反之亦然)。,"S-7-1,S-7-4,S-7-3,S-7-5","S-8-5,S-8-6",S,
337,八年級,全等圖形,S-8-4,九年級,平行線截比例線段,S-9-3,js-8-04,主題,全等圖形：全等圖形的意義(兩個圖形經過平移、旋轉或翻轉可以完全疊合)；兩個多邊形全等則其對應邊和對應角相等(反之亦然)。,"S-7-1,S-7-4,S-7-3,S-7-5","S-8-5,S-8-6",S,
337,八年級,全等圖形,S-8-4,九年級,圓弧長與扇形面積,S-9-5,js-8-04,主題,全等圖形：全等圖形的意義(兩個圖形經過平移、旋轉或翻轉可以完全疊合)；兩個多邊形全等則其對應邊和對應角相等(反之亦然)。,"S-7-1,S-7-4,S-7-3,S-7-5","S-8-5,S-8-6",S,
337,八年級,全等圖形,S-8-4,九年級,圓的幾何性質,S-9-6,js-8-04,主題,全等圖形：全等圖形的意義(兩個圖形經過平移、旋轉或翻轉可以完全疊合)；兩個多邊形全等則其對應邊和對應角相等(反之亦然)。,"S-7-1,S-7-4,S-7-3,S-7-5","S-8-5,S-8-6",S,
337,八年級,全等圖形,S-8-4,九年級,點、直線與圓的關係,S-9-7,js-8-04,主題,全等圖形：全等圖形的意義(兩個圖形經過平移、旋轉或翻轉可以完全疊合)；兩個多邊形全等則其對應邊和對應角相等(反之亦然)。,"S-7-1,S-7-4,S-7-3,S-7-5","S-8-5,S-8-6",S,
337,八年級,全等圖形,S-8-4,九年級,三角形的外心,S-9-8,js-8-04,主題,全等圖形：全等圖形的意義(兩個圖形經過平移、旋轉或翻轉可以完全疊合)；兩個多邊形全等則其對應邊和對應角相等(反之亦然)。,"S-7-1,S-7-4,S-7-3,S-7-5","S-8-5,S-8-6",S,
337,八年級,全等圖形,S-8-4,九年級,三角形的內心,S-9-9,js-8-04,主題,全等圖形：全等圖形的意義(兩個圖形經過平移、旋轉或翻轉可以完全疊合)；兩個多邊形全等則其對應邊和對應角相等(反之亦然)。,"S-7-1,S-7-4,S-7-3,S-7-5","S-8-5,S-8-6",S,
337,八年級,全等圖形,S-8-4,九年級,三角形的重心,S-9-10,js-8-04,主題,全等圖形：全等圖形的意義(兩個圖形經過平移、旋轉或翻轉可以完全疊合)；兩個多邊形全等則其對應邊和對應角相等(反之亦然)。,"S-7-1,S-7-4,S-7-3,S-7-5","S-8-5,S-8-6",S,
337,八年級,全等圖形,S-8-4,九年級,空間中的線與平面,S-9-12,js-8-04,主題,全等圖形：全等圖形的意義(兩個圖形經過平移、旋轉或翻轉可以完全疊合)；兩個多邊形全等則其對應邊和對應角相等(反之亦然)。,"S-7-1,S-7-4,S-7-3,S-7-5","S-8-5,S-8-6",S,
338,八年級,圖形全等的意義,S-8-4,,,,jsc-8-04-1-1,分隔線,,,,,
339,八年級,三角形的全等性質,S-8-5,九年級,圖形縮放與多邊形相似,S-9-1,js-8-05,主題,三角形的全等性質,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-8,S-8-4",S,
339,八年級,三角形的全等性質,S-8-5,九年級,三角形的相似性質,S-9-2,js-8-05,主題,三角形的全等性質,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-8,S-8-4",S,
339,八年級,三角形的全等性質,S-8-5,九年級,平行線截比例線段,S-9-3,js-8-05,主題,三角形的全等性質,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-8,S-8-4",S,
339,八年級,三角形的全等性質,S-8-5,九年級,空間中的線與平面,S-9-12,js-8-05,主題,三角形的全等性質,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-8,S-8-4",S,
339,八年級,三角形的全等性質,S-8-5,十年級,坐標圖形的對稱性,G-10-1,js-8-05,主題,三角形的全等性質,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-8,S-8-4",S,
340,八年級,認識三角形全等性質，並用於判別兩三角形是否全等,S-8-5,,,,jsc-8-05-1-1,分隔線,,,,,
341,八年級,畢氏定理,S-8-6,九年級,圓弧長與扇形面積,S-9-5,js-8-06,主題,畢氏定理：畢氏定理（勾股弦定理、商高定理）的意義及其數學史；畢氏定理在生活上的應用；三邊長滿足畢氏定理的三角形必定是直角三角形。,"S-5-1,S-5-2,S-7-1,S-7-5","S-8-7,S-8-8,G-8-1,N-7-5,N-8-1,N-8-2,S-8-4,S-8-5",S,
341,八年級,畢氏定理,S-8-6,九年級,空間中的線與平面,S-9-12,js-8-06,主題,畢氏定理：畢氏定理（勾股弦定理、商高定理）的意義及其數學史；畢氏定理在生活上的應用；三邊長滿足畢氏定理的三角形必定是直角三角形。,"S-5-1,S-5-2,S-7-1,S-7-5","S-8-7,S-8-8,G-8-1,N-7-5,N-8-1,N-8-2,S-8-4,S-8-5",S,
341,八年級,畢氏定理,S-8-6,九年級,相似直角三角形邊長比值的不變性,S-9-4,js-8-06,主題,畢氏定理：畢氏定理（勾股弦定理、商高定理）的意義及其數學史；畢氏定理在生活上的應用；三邊長滿足畢氏定理的三角形必定是直角三角形。,"S-5-1,S-5-2,S-7-1,S-7-5","S-8-7,S-8-8,G-8-1,N-7-5,N-8-1,N-8-2,S-8-4,S-8-5",S,
341,八年級,畢氏定理,S-8-6,九年級,表面積與體積,S-9-13,js-8-06,主題,畢氏定理：畢氏定理（勾股弦定理、商高定理）的意義及其數學史；畢氏定理在生活上的應用；三邊長滿足畢氏定理的三角形必定是直角三角形。,"S-5-1,S-5-2,S-7-1,S-7-5","S-8-7,S-8-8,G-8-1,N-7-5,N-8-1,N-8-2,S-8-4,S-8-5",S,
342,八年級,1. 畢氏定理,S-8-6,,,,jsc-8-06-1-1,分隔線,,,,,
343,八年級,2. 畢氏定理的生活應用,S-8-6,,,,jsc-8-06-1-2,分隔線,,,,,
344,八年級,平面圖形的面積,S-8-7,九年級,圓弧長與扇形面積,S-9-5,js-8-07,主題,平面圖形的面積：正三角形的高與面積公式，及其相關之複合圖形的面積。,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-10,S-8-11",S,
344,八年級,平面圖形的面積,S-8-7,九年級,圓的幾何性質,S-9-6,js-8-07,主題,平面圖形的面積：正三角形的高與面積公式，及其相關之複合圖形的面積。,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-10,S-8-11",S,
344,八年級,平面圖形的面積,S-8-7,九年級,點、直線與圓的關係,S-9-7,js-8-07,主題,平面圖形的面積：正三角形的高與面積公式，及其相關之複合圖形的面積。,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-10,S-8-11",S,
344,八年級,平面圖形的面積,S-8-7,九年級,三角形的外心,S-9-8,js-8-07,主題,平面圖形的面積：正三角形的高與面積公式，及其相關之複合圖形的面積。,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-10,S-8-11",S,
344,八年級,平面圖形的面積,S-8-7,九年級,三角形的內心,S-9-9,js-8-07,主題,平面圖形的面積：正三角形的高與面積公式，及其相關之複合圖形的面積。,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-10,S-8-11",S,
344,八年級,平面圖形的面積,S-8-7,九年級,三角形的重心,S-9-10,js-8-07,主題,平面圖形的面積：正三角形的高與面積公式，及其相關之複合圖形的面積。,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-10,S-8-11",S,
344,八年級,平面圖形的面積,S-8-7,九年級,表面積與體積,S-9-13,js-8-07,主題,平面圖形的面積：正三角形的高與面積公式，及其相關之複合圖形的面積。,"S-7-1,S-7-4,S-7-5","S-8-6,S-8-10,S-8-11",S,
345,八年級,正三角形的高與面積,S-8-7,,,,jsc-8-07-1-1,分隔線,,,,,
346,八年級,三角形的基本性質,S-8-8,九年級,三角形的相似性質,S-9-2,js-8-08,主題,三角形的基本性質：等腰三角形兩底角相等；非等腰三角形大角對大邊，大邊對大角；三角形兩邊和大於第三邊；外角等於其內對角和。,"S-7-1,S-7-4,N-7-9,S-7-5","S-8-6,S-8-10,S-8-2,S-8-3,S-8-5,N-9-1",S,
346,八年級,三角形的基本性質,S-8-8,九年級,相似直角三角形邊長比值的不變性,S-9-4,js-8-08,主題,三角形的基本性質：等腰三角形兩底角相等；非等腰三角形大角對大邊，大邊對大角；三角形兩邊和大於第三邊；外角等於其內對角和。,"S-7-1,S-7-4,N-7-9,S-7-5","S-8-6,S-8-10,S-8-2,S-8-3,S-8-5,N-9-1",S,
346,八年級,三角形的基本性質,S-8-8,九年級,圓弧長與扇形面積,S-9-5,js-8-08,主題,三角形的基本性質：等腰三角形兩底角相等；非等腰三角形大角對大邊，大邊對大角；三角形兩邊和大於第三邊；外角等於其內對角和。,"S-7-1,S-7-4,N-7-9,S-7-5","S-8-6,S-8-10,S-8-2,S-8-3,S-8-5,N-9-1",S,
346,八年級,三角形的基本性質,S-8-8,九年級,圖形縮放與多邊形相似,S-9-1,js-8-08,主題,三角形的基本性質：等腰三角形兩底角相等；非等腰三角形大角對大邊，大邊對大角；三角形兩邊和大於第三邊；外角等於其內對角和。,"S-7-1,S-7-4,N-7-9,S-7-5","S-8-6,S-8-10,S-8-2,S-8-3,S-8-5,N-9-1",S,
